fips,county,state,year,candidate,vote
5113,Polk,Arkansas,2016,Clinton,1212
5113,Polk,Arkansas,2016,Trump,6618
5003,Ashley,Arkansas,2016,Clinton,2408
5003,Ashley,Arkansas,2016,Trump,5338
5029,Conway,Arkansas,2016,Clinton,2656
5029,Conway,Arkansas,2016,Trump,4849
5083,Logan,Arkansas,2016,Clinton,1715
5083,Logan,Arkansas,2016,Trump,5746
5111,Poinsett,Arkansas,2016,Clinton,1880
5111,Poinsett,Arkansas,2016,Trump,5502
5053,Grant,Arkansas,2016,Clinton,1373
5053,Grant,Arkansas,2016,Trump,5725
5123,St. Francis,Arkansas,2016,Clinton,4031
5123,St. Francis,Arkansas,2016,Trump,3195
5141,Van Buren,Arkansas,2016,Clinton,1549
5141,Van Buren,Arkansas,2016,Trump,5382
5135,Sharp,Arkansas,2016,Clinton,1472
5135,Sharp,Arkansas,2016,Trump,5407
5089,Marion,Arkansas,2016,Clinton,1434
5089,Marion,Arkansas,2016,Trump,5336
5057,Hempstead,Arkansas,2016,Clinton,2377
5057,Hempstead,Arkansas,2016,Trump,4401
5107,Phillips,Arkansas,2016,Clinton,4310
5107,Phillips,Arkansas,2016,Trump,2446
5037,Cross,Arkansas,2016,Clinton,1999
5037,Cross,Arkansas,2016,Trump,4584
5087,Madison,Arkansas,2016,Clinton,1588
5087,Madison,Arkansas,2016,Trump,4928
5047,Franklin,Arkansas,2016,Clinton,1376
5047,Franklin,Arkansas,2016,Trump,5039
5043,Drew,Arkansas,2016,Clinton,2365
5043,Drew,Arkansas,2016,Trump,3968
5149,Yell,Arkansas,2016,Clinton,1480
5149,Yell,Arkansas,2016,Trump,4608
5121,Randolph,Arkansas,2016,Clinton,1425
5121,Randolph,Arkansas,2016,Trump,4509
5001,Arkansas,Arkansas,2016,Clinton,1939
5001,Arkansas,Arkansas,2016,Trump,3826
5075,Lawrence,Arkansas,2016,Clinton,1263
5075,Lawrence,Arkansas,2016,Trump,4064
5137,Stone,Arkansas,2016,Clinton,1203
5137,Stone,Arkansas,2016,Trump,4113
5065,Izard,Arkansas,2016,Clinton,1113
5065,Izard,Arkansas,2016,Trump,4042
5081,Little River,Arkansas,2016,Clinton,1397
5081,Little River,Arkansas,2016,Trump,3605
5021,Clay,Arkansas,2016,Clinton,1199
5021,Clay,Arkansas,2016,Trump,3781
5067,Jackson,Arkansas,2016,Clinton,1583
5067,Jackson,Arkansas,2016,Trump,3267
5049,Fulton,Arkansas,2016,Clinton,1067
5049,Fulton,Arkansas,2016,Trump,3471
5061,Howard,Arkansas,2016,Clinton,1351
5061,Howard,Arkansas,2016,Trump,3157
5133,Sevier,Arkansas,2016,Clinton,1075
