CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
TX-35,"Doggett, Lloyd",Dem,64.1,30.5,63,34.6,63,35
TX-36,"Babin, Brian",Rep,25.2,72,25.7,73.2,30,69
UT-01,"Bishop, Rob",Rep,22.4,49.7,20.4,77.4,29.4,67.7
UT-02,"Stewart, Chris",Rep,32,46,29.2,68,38.4,58.5
UT-03,"Chaffetz, Jason",Rep,23.3,47.2,19.5,78.3,29.5,67.5
UT-04,"Love, Mia",Rep,32.4,39.1,30.2,67.2,40.9,56.1
VA-01,"Wittman, Rob",Rep,41.2,53.6,43.8,56.2,43.8,55.4
VA-02,"Taylor, Scott",Rep,45.4,48.8,48.8,51.2,47.9,51.1
VA-03,"Scott, Bobby",Dem,63.6,31.9,67.9,32.1,65.4,33.9
VA-04,"McEachin, Donald",Dem,58.7,37.1,60.9,39.1,60.1,39.1
VA-05,"Garrett, Tom",Rep,42.3,53.4,46.2,53.8,46.8,52.2
VA-06,"Goodlatte, Bob",Rep,34.9,59.7,39.9,60.1,41.2,57.7
VA-07,"Brat, Dave",Rep,44,50.5,44.4,55.6,44.9,54.3
VA-08,"Beyer, Don",Dem,73.5,20.9,67.7,32.3,66.3,32.8
VA-09,"Griffith, Morgan",Rep,27.3,68.8,35.7,64.3,39.7,58.9
VA-10,"Comstock, Barbara",Rep,52.2,42.2,49.2,50.8,49.6,49.6
VA-11,"Connolly, Gerry",Dem,66.9,27.5,62.7,37.3,60.7,38.5
VT-AL,"Welch, Peter",Dem,56.7,30.3,67,31.2,67.8,30.6
WA-01,"DelBene, Suzan",Dem,54.1,37.8,54.1,43.3,56.3,41.9
WA-02,"Larsen, Rick",Dem,56.9,34.8,59.2,38,60.5,37.6
WA-03,"Herrera Beutler, Jaime",Rep,42.5,49.9,47.9,49.6,50.9,47.1
WA-04,"Newhouse, Dan",Rep,35.1,57.9,37.9,59.7,39.2,58.9
WA-05,"McMorris Rodgers, Cathy",Rep,39.1,52.2,43.7,53.5,46.3,51.2
WA-06,"Kilmer, Derek",Dem,51.8,39.5,56.1,41.2,57,40.9
WA-07,"Jayapal, Pramila",Dem,82.1,12.2,79.2,18.1,80.4,18
WA-08,"Reichert, David",Rep,47.7,44.7,49.7,48.1,51.5,46.8
WA-09,"Smith, Adam",Dem,70.5,23.3,68.3,29.6,68.6,29.9
WA-10,"Heck, Denny",Dem,51.3,39.9,56.3,41.1,57.2,41
WI-01,"Ryan, Paul",Rep,42.3,52.6,47.4,51.6,50.8,48.1
WI-02,"Pocan, Mark",Dem,65.8,29,68.3,30.5,70.1,28.6
WI-03,"Kind, Ron",Dem,44.8,49.3,54.8,43.8,59.4,39.1
WI-04,"Moore, Gwen",Dem,74,21.8,75.3,23.8,74.4,24.6
WI-05,"Sensenbrenner, Jim",Rep,37.3,57.4,37.7,61.3,41.8,57.2
WI-06,"Grothman, Glenn",Rep,38.8,55.7,45.8,53.1,49.4,49.3
WI-07,"Duffy, Sean",Rep,37.3,57.8,47.8,50.9,53.2,45.3
WI-08,"Gallagher, Mike",Rep,38.6,56.2,47.6,51.3,53.7,45
WV-01,"McKinley, David",Rep,26.4,68,35.5,62.2,41.5,56.7
WV-02,"Mooney, Alex",Rep,29.4,65.8,38,60,43.9,54.7
WV-03,"Jenkins, Evan",Rep,23.3,72.5,32.8,65,42.3,55.7
WY-AL,"Cheney, Liz",Rep,22.5,70.1,27.6,68.2,32.7,65.2
