fips,election,candidate,party,vote
1071,2000,Harry Browne,Libertarian,48
1071,2000,John Hagelin,Independent,6
1071,2000,Howard Phillips,Independent,5
1071,2000,Write-ins,-,4
1031,2000,George W. Bush,Republican,9938
1031,2000,Albert Gore Jr.,Democratic,5220
1031,2000,Ralph Nader,Independent,155
1031,2000,Patrick Buchanan,Independent,61
1031,2000,Harry Browne,Libertarian,40
1031,2000,Howard Phillips,Independent,17
1031,2000,Write-ins,-,2
1031,2000,John Hagelin,Independent,1
1123,2000,George W. Bush,Republican,9805
1123,2000,Albert Gore Jr.,Democratic,6183
1123,2000,Ralph Nader,Independent,153
1123,2000,Harry Browne,Libertarian,47
1123,2000,Patrick Buchanan,Independent,44
1123,2000,John Hagelin,Independent,11
1123,2000,Write-ins,-,6
1123,2000,Howard Phillips,Independent,4
1113,2000,Albert Gore Jr.,Democratic,8396
1113,2000,George W. Bush,Republican,6198
1113,2000,Ralph Nader,Independent,109
1113,2000,Patrick Buchanan,Independent,31
1113,2000,Harry Browne,Libertarian,30
1113,2000,John Hagelin,Independent,4
1113,2000,Write-ins,-,4
1113,2000,Howard Phillips,Independent,3
1047,2000,Albert Gore Jr.,Democratic,10967
1047,2000,George W. Bush,Republican,7360
1047,2000,Ralph Nader,Independent,63
1047,2000,Harry Browne,Libertarian,38
1047,2000,Patrick Buchanan,Independent,19
1047,2000,Howard Phillips,Independent,10
1047,2000,John Hagelin,Independent,4
1047,2000,Write-ins,-,3
1045,2000,George W. Bush,Republican,10593
1045,2000,Albert Gore Jr.,Democratic,4906
1045,2000,Ralph Nader,Independent,188
1045,2000,Patrick Buchanan,Independent,56
1045,2000,Harry Browne,Libertarian,27
1045,2000,Howard Phillips,Independent,26
1045,2000,Write-ins,-,6
1045,2000,John Hagelin,Independent,4
1021,2000,George W. Bush,Republican,10066
1021,2000,Albert Gore Jr.,Democratic,4806
1021,2000,Ralph Nader,Independent,92
1021,2000,Patrick Buchanan,Independent,70
1021,2000,Harry Browne,Libertarian,53
1021,2000,Write-ins,-,3
1021,2000,Howard Phillips,Independent,1
1021,2000,John Hagelin,Independent,1
1039,2000,George W. Bush,Republican,8961
1039,2000,Albert Gore Jr.,Democratic,4440
1039,2000,Ralph Nader,Independent,123
1039,2000,Patrick Buchanan,Independent,42
1039,2000,Harry Browne,Libertarian,32
1039,2000,Howard Phillips,Independent,9
1039,2000,John Hagelin,Independent,3
1039,2000,Write-ins,-,3
1053,2000,George W. Bush,Republican,6975
1053,2000,Albert Gore Jr.,Democratic,4523
1053,2000,Ralph Nader,Independent,78
1053,2000,Patrick Buchanan,Independent,57
1053,2000,Harry Browne,Libertarian,13
1053,2000,Howard Phillips,Independent,7
1053,2000,Write-ins,-,4
1053,2000,John Hagelin,Independent,3
1079,2000,Albert Gore Jr.,Democratic,6296
1079,2000,George W. Bush,Republican,5671
1079,2000,Patrick Buchanan,Independent,111
1079,2000,Ralph Nader,Independent,63
1079,2000,Harry Browne,Libertarian,22
1079,2000,Howard Phillips,Independent,11
1079,2000,Write-ins,-,7
1079,2000,John Hagelin,Independent,4
1017,2000,George W. Bush,Republican,6037
1017,2000,Albert Gore Jr.,Democratic,5616
1017,2000,Ralph Nader,Independent,95
1017,2000,Harry Browne,Libertarian,38
1017,2000,Patrick Buchanan,Independent,35
1017,2000,Howard Phillips,Independent,5
1017,2000,John Hagelin,Independent,5
1017,2000,Write-ins,-,3
1109,2000,George W. Bush,Republican,6058
1109,2000,Albert Gore Jr.,Democratic,4357
1109,2000,Ralph Nader,Independent,75
1109,2000,Harry Browne,Libertarian,27
1109,2000,Patrick Buchanan,Independent,17
1109,2000,Howard Phillips,Independent,4
1109,2000,John Hagelin,Independent,3
1109,2000,Write-ins,-,3
1025,2000,George W. Bush,Republican,5988
1025,2000,Albert Gore Jr.,Democratic,4679
1025,2000,Ralph Nader,Independent,33
1025,2000,Patrick Buchanan,Independent,28
1025,2000,Harry Browne,Libertarian,16
1025,2000,Howard Phillips,Independent,4
1025,2000,John Hagelin,Independent,2
1025,2000,Write-ins,-,2
1093,2000,George W. Bush,Republican,6910
1093,2000,Albert Gore Jr.,Democratic,4600
1093,2000,Ralph Nader,Independent,125
1093,2000,Patrick Buchanan,Independent,77
1093,2000,Harry Browne,Libertarian,25
1093,2000,Howard Phillips,Independent,7
1093,2000,John Hagelin,Independent,7
1093,2000,Write-ins,-,5
1059,2000,George W. Bush,Republican,6119
1059,2000,Albert Gore Jr.,Democratic,4793
1059,2000,Patrick Buchanan,Independent,85
1059,2000,Ralph Nader,Independent,72
1059,2000,Harry Browne,Libertarian,17
1059,2000,Write-ins,-,7
1059,2000,Howard Phillips,Independent,5
1059,2000,John Hagelin,Independent,5
1061,2000,George W. Bush,Republican,6588
1061,2000,Albert Gore Jr.,Democratic,2769
1061,2000,Ralph Nader,Independent,97
1061,2000,Patrick Buchanan,Independent,46
1061,2000,Harry Browne,Libertarian,38
1061,2000,Howard Phillips,Independent,16
1061,2000,Write-ins,-,3
1061,2000,John Hagelin,Independent,2
1091,2000,Albert Gore Jr.,Democratic,4841
1091,2000,George W. Bush,Republican,4690
1091,2000,Ralph Nader,Independent,40
1091,2000,Patrick Buchanan,Independent,19
1091,2000,Harry Browne,Libertarian,12
1091,2000,Howard Phillips,Independent,4
1091,2000,John Hagelin,Independent,2
1019,2000,George W. Bush,Republican,4154
1019,2000,Albert Gore Jr.,Democratic,3497
1019,2000,Ralph Nader,Independent,77
1019,2000,Patrick Buchanan,Independent,58
1019,2000,Harry Browne,Libertarian,27
1019,2000,John Hagelin,Independent,5
1019,2000,Howard Phillips,Independent,3
1019,2000,Write-ins,-,2
1005,2000,Albert Gore Jr.,Democratic,5188
1005,2000,George W. Bush,Republican,5096
1005,2000,Ralph Nader,Independent,46
1005,2000,Patrick Buchanan,Independent,27
1005,2000,Harry Browne,Libertarian,27
1005,2000,Howard Phillips,Independent,6
1005,2000,Write-ins,-,3
